question,answer,confidence_level,relevant_sources,reasoning_summary,retrieval_metrics,performance_metrics,used_existing_vectordb
2019 income tax paid,"2019年所得稅繳納金額為52,044,000,000元（五百二十億四千四百四十萬）新台幣，數據來源為公司年度合併現金流量表中的「Income Tax Paid」項目。",high,"['Document 1 (Page 3, excel_FS-Consolidated_1Q25.xls) Sheet: Annual (CF)']","2019年所得稅實際繳納金額應以現金流量表中「Income Tax Paid」項目為準，為-52,044百萬元新台幣，即52,044,000,000元。","{'avg_score': 0.3633, 'max_score': 0.5509, 'score_range': 0.4171, 'final_results': 6}","{'retrieval_time_s': 3.809, 'generation_time_s': 7.059, 'total_time_s': 10.875, 'input_tokens': 30750, 'output_tokens': 62, 'total_tokens': 30812, 'throughput_tokens_per_second': 2833.24, 'start_time': 1754971410.8586, 'end_time': 1754971421.7337742}",False
2017 interest paid,"2017年利息支付為3,483,000,000元（3億4千8百3十萬）新台幣。",high,"['Document 1 (Page 3, excel_FS-Consolidated_1Q25.xls) Sheet: Annual (CF)', 'Document 3 (Page 6, excel_FS-Consolidated_1Q25.xls) Sheet: Quarterly (CF)']","2017年利息支付在年度現金流量表中為3,483百萬元新台幣，季度數據合計亦接近此數，年度數據為審計數據，故採用年度數據，信心高。","{'avg_score': 0.2501, 'max_score': 0.6929, 'score_range': 0.5611, 'final_results': 6}","{'retrieval_time_s': 2.676, 'generation_time_s': 12.073, 'total_time_s': 14.754, 'input_tokens': 30749, 'output_tokens': 31, 'total_tokens': 30780, 'throughput_tokens_per_second': 2086.23, 'start_time': 1754971455.922687, 'end_time': 1754971470.676547}",False
1Q23 gross profit,"2023年第一季（1Q23）毛利為314,505百萬元新台幣（314,505,000,000元）。",high,"['Document 1 (Page 5, excel_FS-Consolidated_1Q25.xls)']","依據季度損益表Excel數據，1Q23毛利為314,505百萬元新台幣，數據來源可靠且精確。","{'avg_score': 0.3736, 'max_score': 0.7605, 'score_range': 0.6345, 'final_results': 6}","{'retrieval_time_s': 3.134, 'generation_time_s': 11.206, 'total_time_s': 14.363, 'input_tokens': 30750, 'output_tokens': 32, 'total_tokens': 30782, 'throughput_tokens_per_second': 2143.22, 'start_time': 1754971584.879659, 'end_time': 1754971599.242173}",False
3Q22 Gross Profit,"2022年第3季（3Q22）台積電的毛利為273,203百萬元新台幣（273,203,000,000元）。",high,['Document 1'],"3Q22毛利為273,203百萬元新台幣，數據來自最新季度綜合損益表，為調整後數據，準確反映該季財務狀況。","{'avg_score': 0.3875, 'max_score': 0.7618, 'score_range': 0.6332, 'final_results': 6}","{'retrieval_time_s': 3.294, 'generation_time_s': 7.655, 'total_time_s': 10.953, 'input_tokens': 30750, 'output_tokens': 36, 'total_tokens': 30786, 'throughput_tokens_per_second': 2810.79, 'start_time': 1754971735.495612, 'end_time': 1754971746.448395}",False
高階AI伺服器企業行庫戶比例,根據DIGITIMES 2025年5月報告，2025年高階AI伺服器企業型客戶（企業行庫戶）比重維持不變，約占30%左右，北美大型雲端客戶佔比回升至70%。,high,['Document 1 (Page 5)'],2025年高階AI伺服器企業型客戶比重維持不變，約占30%左右，北美大型雲端客戶佔70%。此結論基於DIGITIMES 2025年5月報告中相關圖表與文字說明，可信度高。,"{'avg_score': 0.4315, 'max_score': 0.6557, 'score_range': 0.3697, 'final_results': 10}","{'retrieval_time_s': 9.261, 'generation_time_s': 3.386, 'total_time_s': 12.672, 'input_tokens': 3575, 'output_tokens': 63, 'total_tokens': 3638, 'throughput_tokens_per_second': 287.09, 'start_time': 1755055067.942654, 'end_time': 1755055080.614481}",False
2025年高階AI伺服器出貨量是多少千台？,根據報告標題及內容，2025年全球AI伺服器出貨量為181萬台（即1810千台）。報告中未提供高階AI伺服器的具體出貨量數字，因此無法確定高階AI伺服器的精確出貨量。,high,"['Document 1 (Page 4)', 'Document 2 (Page 1)', 'Document 3 (Page 6)', 'Document 4 (Page 11)', 'Document 5 (Page 5)', 'Document 6 (Page 7)', 'Document 7 (Page 2)', 'Document 8 (Page 8)', 'Document 9 (Page 10)', 'Document 10 (Page 9)']",2025年全球AI伺服器出貨量為181萬台（即1810千台），文件中未提供高階AI伺服器的具體出貨量數字，故只能以整體數據作為參考。,"{'avg_score': 0.1782, 'max_score': 0.2082, 'score_range': 0.0448, 'final_results': 10}","{'retrieval_time_s': 6.09, 'generation_time_s': 12.695, 'total_time_s': 0.0, 'input_tokens': 1159, 'output_tokens': 71, 'total_tokens': 1230, 'throughput_tokens_per_second': 0.0, 'start_time': 0.0, 'end_time': 1755056321.727412}",False
高階AI伺服器2023到2025年的具體數值？,根據文件標題與內容，2025年全球AI伺服器出貨量將達181萬台。關於高階AI伺服器的具體出貨數值，文件中未明確提供2023至2025年的年度數據，但可推測高階機種出貨量會隨整體市場成長而逐年增加。建議參考PPT中的圖表以取得精確數字。,medium,"['Document 1', 'Document 2', 'Document 3', 'Document 4', 'Document 5', 'Document 6', 'Document 7', 'Document 8', 'Document 9', 'Document 10']",2025年全球AI伺服器出貨量為181萬台，文件主題聚焦高階機種採購趨勢，推測2023至2025年間高階AI伺服器出貨數量逐年增加，但具體數字未明確列出，需依據PPT內圖表確認。,"{'avg_score': 0.172, 'max_score': 0.2011, 'score_range': 0.0413, 'final_results': 10}","{'retrieval_time_s': 5.786, 'generation_time_s': 10.413, 'total_time_s': 0.0, 'input_tokens': 1160, 'output_tokens': 98, 'total_tokens': 1258, 'throughput_tokens_per_second': 0.0, 'start_time': 0.0, 'end_time': 1755056337.953965}",False
北美大型雲端業者佔比從2023到2025的變化？,根據2025年全球AI伺服器市場報告，北美大型雲端業者（四大CSP）在2023年的市場佔比較高，但隨著高階機種採購不再集中於這四大業者，至2025年其佔比明顯下降，市場趨向分散化，其他業者參與度提升。整體來看，北美大型雲端業者的市場佔比從2023年到2025年呈現下降趨勢。,medium,"['Document 1', 'Document 2', 'Document 4', 'Document 6', 'Document 8']",北美大型雲端業者在AI伺服器市場的佔比從2023年到2025年呈現下降趨勢，因高階機種採購不再集中於四大CSP，市場逐漸分散，其他業者參與度提升。,"{'avg_score': 0.1615, 'max_score': 0.1939, 'score_range': 0.0454, 'final_results': 10}","{'retrieval_time_s': 6.739, 'generation_time_s': 13.091, 'total_time_s': 0.0, 'input_tokens': 1163, 'output_tokens': 120, 'total_tokens': 1283, 'throughput_tokens_per_second': 0.0, 'start_time': 0.0, 'end_time': 1755056357.7966888}",False
甲骨文在2025年的AI伺服器採購量預測數字？,根據現有資料，2025年全球AI伺服器出貨量預計達181萬台，但文件中未明確揭露甲骨文（Oracle）在2025年的AI伺服器採購量預測數字。雖然高階機種採購趨勢顯示不再集中於四大CSP，甲骨文可能為重要買家之一，但缺乏具體數據支持其採購量。,medium,"['Document 1 (Page 6)', 'Document 2 (Page 4)', 'Document 3 (Page 1)', 'Document 4 (Page 5)', 'Document 5 (Page 2)', 'Document 6 (Page 11)', 'Document 7 (Page 7)', 'Document 8 (Page 9)', 'Document 9 (Page 8)', 'Document 10 (Page 10)']",文件中明確指出2025年全球AI伺服器出貨量將達181萬台，但未提供甲骨文具體採購量數字。高階機種採購趨勢分散，甲骨文可能為重要買家之一，但缺乏精確數據支持。,"{'avg_score': 0.1651, 'max_score': 0.1926, 'score_range': 0.0412, 'final_results': 10}","{'retrieval_time_s': 3.913, 'generation_time_s': 11.484, 'total_time_s': 0.0, 'input_tokens': 1162, 'output_tokens': 102, 'total_tokens': 1264, 'throughput_tokens_per_second': 0.0, 'start_time': 0.0, 'end_time': 1755056373.203254}",False
NVL72/36型態在2025年的佔比是多少？,根據目前提供的資料，無法得知NVL72/36型態在2025年全球AI伺服器出貨中的具體佔比，因為文件中未包含相關的數據或Excel表格。,low,"['Document 1', 'Document 2', 'Document 3', 'Document 4', 'Document 5', 'Document 6', 'Document 7', 'Document 8', 'Document 9', 'Document 10']",文件中未提供NVL72/36型態2025年出貨佔比的具體數據，缺乏Excel表格或明確數字，無法準確回答此問題。,"{'avg_score': 0.1443, 'max_score': 0.1721, 'score_range': 0.0406, 'final_results': 10}","{'retrieval_time_s': 8.284, 'generation_time_s': 7.772, 'total_time_s': 0.0, 'input_tokens': 1158, 'output_tokens': 52, 'total_tokens': 1210, 'throughput_tokens_per_second': 0.0, 'start_time': 0.0, 'end_time': 1755056389.26991}",False
